Compname,Surface Metal Bandcenter,Surface Oxygen Bandcenter,Surface Metal Bader Charge,Bulk Metal Bandcenter,Bulk Oxygen Bandcenter,"Intermediate (*O, *OH or *OOH)",Bulk Metal Charge,Bulk Oxygen Charge,Surface Oxygen Bader Charge,Adsorbate Oxygen Bandcenter,Adsorbed Oxygen Bader Charge
Co_2_Co_2_Mn_2_O_8,-3.273593143,-3.202405429,1.4133933333333335,-3.952093625,-4.309381347,OOH,1.411391166666667,-1.0585435,-1.045795,-4.192311903,-0.450842
Cd_2_Lu_4_O_8,-4.109500506,-2.064910545,1.7345709999999999,-3.18317795,-1.551907309,O,1.7409163333333335,-1.3056875,-1.27030325,-4.880462704,-0.216962
Cd_2_Lu_4_O_8,-3.354008658,-1.481622606,1.7629193333333335,-3.18317795,-1.551907309,OH,1.7409163333333335,-1.3056875,-1.181629,-1.710151178,-1.073969
Cd_2_Lu_4_O_8,-3.95675602,-1.891778904,1.7347566666666667,-3.18317795,-1.551907309,OOH,1.7409163333333335,-1.3056875,-1.260605,-4.216753128,-0.461671
Al_4_Ni_2_O_8,-4.729885409,-2.674374204,1.9492938,-3.837856984,-3.38349889,O,2.03125,-1.523438,-1.35612075,-3.035939713,-0.34440475
Al_4_Ni_2_O_8,-4.182741409,-2.443781424,1.991158,-3.837856984,-3.38349889,OH,2.03125,-1.523438,-1.2746305,-2.776800879,-1.21596775
Al_4_Ni_2_O_8,-4.463461365,-2.658878627,1.9568596000000003,-3.837856984,-3.38349889,OOH,2.03125,-1.523438,-1.36886825,-3.887664398,-0.46019
V_2_V_3_Zr_1_O_8,-1.838628934,-4.614746764,1.763098,-2.960614757,-4.64187019,O,1.6668401666666668,-1.25013025,-1.224339333,-3.360418991,-0.6445845
V_2_V_3_Zr_1_O_8,-1.841900804,-4.727200015,1.7374824,-2.960614757,-4.64187019,OH,1.6668401666666668,-1.25013025,-1.241827667,-4.673042769,-1.181262
V_2_V_3_Zr_1_O_8,-1.851823266,-4.484843136,1.7355324000000003,-2.960614757,-4.64187019,OOH,1.6668401666666668,-1.25013025,-1.237207333,-4.210232567,-0.529668
Co_2_Co_2_Ti_2_O_8,-3.229505866,-3.400952763,1.558294,-3.60088317,-3.612843239,O,1.5200281666666668,-1.14002125,-1.0792605,-3.215408865,-0.40773
Co_2_Co_2_Ti_2_O_8,-3.080247323,-3.270367866,1.610285,-3.60088317,-3.612843239,OH,1.5200281666666668,-1.14002125,-1.06208875,-2.989843408,-1.077038
Co_2_Co_2_Ti_2_O_8,-3.545828448,-3.415728922,1.5149716666666668,-3.60088317,-3.612843239,OOH,1.5200281666666668,-1.14002125,-1.121626,-4.30332175,-0.489268333
Na_1_Co_1_Co_4_O_8,-2.81357404,-2.656757944,1.2624713333333333,-2.3524413,-3.252065023,O,1.2339783333333332,-0.925483875,-0.840863,-1.516596416,-0.371766667
Na_1_Co_1_Co_4_O_8,-2.872655807,-2.87691514,1.2659426666666667,-2.3524413,-3.252065023,OH,1.2339783333333332,-0.925483875,-0.864261,-2.513935036,-0.987738667
Na_1_Co_1_Co_4_O_8,-2.876203947,-2.971673919,1.24651,-2.3524413,-3.252065023,OOH,1.2339783333333332,-0.925483875,-0.9007135,-4.681609072,-0.421783667
Mn_1_Co_1_Co_4_O_8,-3.287858413,-3.11426705,1.48189,-2.48981456,-3.573192843,O,1.3072996666666665,-0.980475125,-0.91322675,-1.774083736,-0.501564333
Mn_1_Co_1_Co_4_O_8,-2.923708484,-2.749694908,1.4506506666666665,-2.48981456,-3.573192843,OH,1.3072996666666665,-0.980475125,-0.8792885,-2.887097456,-1.166597
Mn_1_Co_1_Co_4_O_8,-3.187062069,-3.08421467,1.3907146666666668,-2.48981456,-3.573192843,OOH,1.3072996666666665,-0.980475125,-0.9969715,-4.716243245,-0.467035
Mn_2_Al_4_O_8,-4.303690111,-3.166591868,2.1562746666666666,-2.941656681,-3.421233651,O,2.1061254999999997,-1.57959375,-1.50427625,-3.3119804,-0.362982333
Mn_2_Al_4_O_8,-4.258121761,-2.827669215,2.194492,-2.941656681,-3.421233651,OH,2.1061254999999997,-1.57959375,-1.442275,-3.33644508,-1.253775
Mn_2_Al_4_O_8,-4.551479727,-2.980349723,2.1409073333333333,-2.941656681,-3.421233651,OOH,2.1061254999999997,-1.57959375,-1.49442975,-4.566496666,-0.573706
Mn_2_Mn_2_Co_2_O_8,-3.519687026,-3.083163613,1.4820673333333332,-3.871198259,-4.178113925,O,1.2135239999999998,-0.910143,-1.09624325,-3.588565008,-0.265596667
Mn_2_Mn_2_Co_2_O_8,-3.417201475,-2.884619978,1.5416303333333332,-3.871198259,-4.178113925,OH,1.2135239999999998,-0.910143,-1.00856925,-2.816999241,-1.110383333
Mn_2_Mn_2_Co_2_O_8,-3.410468848,-3.501832189,1.4748523333333334,-3.871198259,-4.178113925,OOH,1.2135239999999998,-0.910143,-1.120879,-3.752092327,-0.411167333
Ti_2_Mn_4_O_8,-3.09015811,-2.585788235,1.768515,-3.300385293,-3.603286176,O,-0.449079,0.33680925000000006,-0.95682225,-1.64760756,-0.478541
Ti_2_Mn_4_O_8,-3.31842367,-2.444142246,1.7745072499999999,-3.300385293,-3.603286176,OH,-0.449079,0.33680925000000006,-1.00344775,-2.72002701,-1.05695325
Ti_2_Mn_4_O_8,-3.691826653,-3.488715379,1.7055707500000001,-3.300385293,-3.603286176,OOH,-0.449079,0.33680925000000006,-1.06769725,-4.087379985,-0.396973
Co_1_Mn_1_Mn_4_O_8,-4.043383249,-2.705138944,1.5096343333333333,-4.168015867,-3.728444019,O,0.45598483333333295,-0.3419885,-1.148475333,-3.844369063,-0.227423
Co_1_Mn_1_Mn_4_O_8,-3.61970553,-2.513112393,1.5653686666666664,-4.168015867,-3.728444019,OH,0.45598483333333295,-0.3419885,-1.06532,-2.269131519,-1.06219
Co_1_Mn_1_Mn_4_O_8,-3.417018406,-2.602718926,1.4953033333333334,-4.168015867,-3.728444019,OOH,0.45598483333333295,-0.3419885,-1.125263667,-3.584590801,-0.404906
Mn_2_Mn_2_Ga_2_O_8,-3.340041327,-2.70750284,1.7168013333333336,-3.716246231,-3.626554093,O,3.1877999999999997,-2.39084975,-1.115724,-1.764498993,-0.558305333
Mn_2_Mn_2_Ga_2_O_8,-3.825780948,-2.858926992,1.7395876666666668,-3.716246231,-3.626554093,OH,3.1877999999999997,-2.39084975,-1.1324855,-3.186148739,-1.128375333
Mn_2_Mn_2_Ga_2_O_8,-3.908749456,-3.659326478,1.6245873333333332,-3.716246231,-3.626554093,OOH,3.1877999999999997,-2.39084975,-1.258708,-3.700879449,-0.377296
Co_2_Co_2_Hf_2_O_8,-3.351309511,-2.84926826,1.657734666666667,-3.54380168,-3.382258086,O,1.673735833333333,-1.25530225,-1.1869225,-3.882653992,-0.411017667
Co_2_Co_2_Hf_2_O_8,-2.752318236,-3.159704634,1.6684466666666664,-3.54380168,-3.382258086,OH,1.673735833333333,-1.25530225,-1.1251375,-2.72840014,-1.089674667
Co_2_Co_2_Hf_2_O_8,-3.068864601,-3.08865266,1.6851539999999998,-3.54380168,-3.382258086,OOH,1.673735833333333,-1.25530225,-1.15123275,-3.879018034,-0.473702667
Ga_5_Li_1_O_8,-3.530982227,-3.439611995,1.4904693333333336,-2.418948173,-2.378695572,O,1.692947666666667,-1.269711,-1.23473025,-3.608834563,-0.188042
Ga_5_Li_1_O_8,-3.15155541,-2.946685734,1.4926470000000005,-2.418948173,-2.378695572,OH,1.692947666666667,-1.269711,-1.22604475,-3.223641597,-0.8335295
Ga_5_Li_1_O_8,-4.054476464,-4.004794365,1.4863736666666671,-2.418948173,-2.378695572,OOH,1.692947666666667,-1.269711,-1.23387575,-3.715610098,-0.2857565
